age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,income,age_group,workclass_simplified,marital_status_type,capital_diff,hours_per_week_group,native_country_grouped,education_num_log
39.0,6,9,13.0,4,0,1,4,1,0.0,0.0,40.0,0,0,6,1,0.0,0,3,2.6390573296152584
50.0,5,9,13.0,2,3,0,4,1,0.0,0.0,32.5,0,1,5,0,0.0,0,3,2.6390573296152584
38.0,3,11,9.0,0,5,1,4,1,0.0,0.0,40.0,0,0,3,1,0.0,0,3,2.302585092994046
53.0,3,1,7.0,2,5,0,2,1,0.0,0.0,40.0,0,1,3,0,0.0,0,3,2.0794415416798357
28.0,3,9,13.0,2,9,5,2,0,0.0,0.0,40.0,0,0,3,0,0.0,0,4,2.6390573296152584
37.0,3,12,14.0,2,3,5,4,0,0.0,0.0,40.0,0,0,3,0,0.0,0,3,2.70805020110221
49.0,3,6,5.0,3,7,1,2,0,0.0,0.0,32.5,0,1,3,0,0.0,0,4,1.791759469228055
52.0,5,11,9.0,2,3,0,4,1,0.0,0.0,45.0,1,1,5,0,0.0,1,3,2.302585092994046
31.0,3,12,14.0,4,9,1,4,0,0.0,0.0,50.0,1,0,3,1,0.0,1,3,2.70805020110221
42.0,3,9,13.0,2,3,0,4,1,0.0,0.0,40.0,1,0,3,0,0.0,0,3,2.6390573296152584
37.0,3,15,10.0,2,3,0,2,1,0.0,0.0,52.5,1,0,3,0,0.0,1,3,2.3978952727983707
30.0,6,9,13.0,2,9,0,1,1,0.0,0.0,40.0,1,0,6,0,0.0,0,4,2.6390573296152584
23.0,3,9,13.0,4,0,3,4,0,0.0,0.0,32.5,0,3,3,1,0.0,0,3,2.6390573296152584
32.0,3,7,12.0,4,11,1,2,1,0.0,0.0,50.0,0,0,3,1,0.0,1,3,2.5649493574615367
40.0,3,8,11.0,2,2,0,1,1,0.0,0.0,40.0,1,0,3,0,0.0,0,5,2.4849066497880004
34.0,3,5,4.5,2,13,0,0,1,0.0,0.0,45.0,0,0,3,0,0.0,1,1,1.7047480922384253
25.0,5,11,9.0,4,4,3,4,1,0.0,0.0,35.0,0,3,5,1,0.0,0,3,2.302585092994046
32.0,3,11,9.0,4,6,4,4,1,0.0,0.0,40.0,0,0,3,1,0.0,0,3,2.302585092994046
38.0,3,1,7.0,2,11,0,4,1,0.0,0.0,50.0,0,0,3,0,0.0,1,3,2.0794415416798357
43.0,5,12,14.0,0,3,4,4,0,0.0,0.0,45.0,1,0,5,1,0.0,1,3,2.70805020110221
40.0,3,10,16.0,2,9,0,4,1,0.0,0.0,52.5,1,0,3,0,0.0,1,3,2.833213344056216
54.0,3,11,9.0,5,7,4,2,0,0.0,0.0,32.5,0,1,3,1,0.0,0,3,2.302585092994046
35.0,0,6,5.0,2,4,0,2,1,0.0,0.0,40.0,0,0,0,0,0.0,0,3,1.791759469228055
43.0,3,1,7.0,2,13,0,4,1,0.0,0.0,40.0,0,0,3,0,0.0,0,3,2.0794415416798357
59.0,3,11,9.0,0,12,4,4,0,0.0,0.0,40.0,0,1,3,1,0.0,0,3,2.302585092994046
56.0,1,9,13.0,2,12,0,4,1,0.0,0.0,40.0,1,1,1,0,0.0,0,3,2.6390573296152584
19.0,3,11,9.0,4,2,3,4,1,0.0,0.0,40.0,0,3,3,1,0.0,0,3,2.302585092994046
54.0,8,15,10.0,2,14,0,1,1,0.0,0.0,52.5,1,1,8,0,0.0,1,4,2.3978952727983707
39.0,3,11,9.0,0,3,1,4,1,0.0,0.0,52.5,0,0,3,1,0.0,1,3,2.302585092994046
49.0,3,11,9.0,2,2,0,4,1,0.0,0.0,40.0,0,1,3,0,0.0,0,3,2.302585092994046
23.0,1,7,12.0,4,10,1,4,1,0.0,0.0,52.0,0,3,1,1,0.0,1,3,2.5649493574615367
20.0,3,15,10.0,4,11,3,2,1,0.0,0.0,44.0,0,3,3,1,0.0,1,3,2.3978952727983707
45.0,3,9,13.0,0,3,3,4,1,0.0,0.0,40.0,0,0,3,1,0.0,0,3,2.6390573296152584
30.0,0,15,10.0,2,0,3,4,1,0.0,0.0,40.0,0,0,0,0,0.0,0,3,2.3978952727983707
22.0,6,15,10.0,2,7,0,2,1,0.0,0.0,32.5,0,3,6,0,0.0,0,3,2.3978952727983707
48.0,3,1,7.0,4,6,4,4,1,0.0,0.0,40.0,0,1,3,1,0.0,0,4,2.0794415416798357
21.0,3,15,10.0,4,6,3,4,1,0.0,0.0,40.0,0,3,3,1,0.0,0,3,2.3978952727983707
19.0,3,11,9.0,1,0,5,4,0,0.0,0.0,32.5,0,3,3,0,0.0,0,3,2.302585092994046
31.0,3,15,10.0,2,11,0,4,1,0.0,0.0,38.0,1,0,3,0,0.0,0,5,2.3978952727983707
48.0,5,7,12.0,2,9,0,4,1,0.0,0.0,40.0,0,1,5,0,0.0,0,3,2.5649493574615367
31.0,3,6,5.0,2,6,0,4,1,0.0,0.0,43.0,0,0,3,0,0.0,1,3,1.791759469228055
53.0,5,9,13.0,2,9,0,4,1,0.0,0.0,40.0,0,1,5,0,0.0,0,3,2.6390573296152584
24.0,3,9,13.0,2,12,0,4,1,0.0,0.0,50.0,0,3,3,0,0.0,1,3,2.6390573296152584
49.0,3,11,9.0,5,0,4,4,0,0.0,0.0,40.0,0,1,3,1,0.0,0,3,2.302585092994046
25.0,3,11,9.0,4,5,1,4,1,0.0,0.0,35.0,0,3,3,1,0.0,0,3,2.302585092994046
57.0,0,9,13.0,2,9,0,2,1,0.0,0.0,40.0,1,1,0,0,0.0,0,3,2.6390573296152584
53.0,3,11,9.0,2,6,0,4,1,0.0,0.0,38.0,0,1,3,0,0.0,0,3,2.302585092994046
44.0,3,12,14.0,0,3,4,4,0,0.0,0.0,40.0,0,0,3,1,0.0,0,3,2.70805020110221
41.0,6,8,11.0,2,2,0,4,1,0.0,0.0,40.0,0,0,6,0,0.0,0,3,2.4849066497880004
