iter	Passed	Remaining
0	471	93743
1	797	78984
2	1320	86722
3	1891	92685
4	2285	89144
5	2830	91534
6	3414	94133
7	3795	91090
8	4072	86419
9	4593	87279
10	5102	87668
11	5471	85719
12	5813	83628
13	6430	85430
14	6802	83899
15	7417	85306
16	7793	83894
17	8209	83004
18	8690	82791
19	9102	81922
20	9613	81944
21	10097	81699
22	10561	81280
23	11592	85011
24	11956	83697
25	12670	84796
26	13038	83545
27	13398	82304
28	13916	82059
29	14511	82233
30	14845	80930
31	15439	81057
32	15813	80028
33	16126	78733
34	16477	77678
35	17157	78162
36	17648	77748
37	18332	78153
38	18779	77526
39	19457	77829
40	19988	77514
41	20585	77441
42	20915	76364
43	21216	75222
44	21726	74837
45	22040	73787
46	22678	73825
47	23061	73028
48	23649	72880
49	24008	72025
50	24616	71919
51	25004	71166
52	25909	71862
53	26726	72261
54	27495	72489
55	28772	73986
56	29503	74016
57	29802	72964
58	30049	71812
59	30333	70777
60	30637	69812
61	31221	69493
62	31664	68857
63	32354	68753
64	32799	68122
65	33384	67781
66	33768	67032
67	34744	67446
68	35264	66951
69	36179	67191
70	36497	66312
71	37195	66125
72	37593	65403
73	37867	64476
74	38116	63527
75	38443	62723
76	38704	61826
77	38994	60991
78	39214	60062
79	39473	59210
80	39708	58337
81	39951	57490
82	40213	56685
83	40440	55846
84	40702	55068
85	41061	54430
86	41371	53736
87	41688	53058
88	41965	52339
89	42240	51627
90	42626	51057
91	43003	50482
92	43397	49930
93	43807	49400
94	44221	48876
95	44980	48728
96	45484	48297
97	45951	47826
98	46464	47402
99	46810	46810
100	47365	46427
101	47761	45888
102	48108	45306
103	48408	44685
104	48722	44082
105	49146	43582
106	49453	42983
107	49805	42427
108	50135	41856
109	50412	41246
110	50687	40641
111	50956	40037
112	51207	39425
113	51453	38816
114	51689	38205
115	51912	37591
116	52124	36977
117	52368	36391
118	52595	35800
119	52856	35237
120	53126	34686
121	53377	34126
122	53619	33566
123	53870	33017
124	54116	32469
125	54310	31896
126	54530	31344
127	54761	30803
128	54989	30265
129	55186	29716
130	55396	29178
131	55610	28647
132	55885	28152
133	56084	27623
134	56369	27140
135	56668	26667
136	56923	26176
137	57764	25952
138	58292	25581
139	58730	25170
140	59136	24744
141	59490	24298
142	59860	23860
143	60237	23425
144	60560	22971
145	60942	22540
146	61318	22107
147	61655	21662
148	62009	21224
149	62354	20784
150	62659	20333
151	63003	19895
152	63316	19450
153	63593	18995
154	63870	18542
155	64126	18086
156	64425	17645
157	64692	17196
158	64978	16755
159	65271	16317
160	65504	15867
161	65772	15428
162	66020	14986
163	66316	14557
164	66536	14113
165	66759	13673
166	66970	13233
167	67219	12803
168	67414	12365
169	67612	11931
170	67794	11497
171	67975	11065
172	68157	10637
173	68406	10221
174	68584	9797
175	68833	9386
176	69117	8981
177	69432	8581
178	69762	8184
179	70074	7786
180	70384	7388
181	70677	6990
182	70974	6593
183	71473	6215
184	71786	5820
185	72073	5424
186	72356	5030
187	72637	4636
188	72948	4245
189	73288	3857
190	73528	3464
191	73784	3074
192	74005	2684
193	74260	2296
194	74574	1912
195	74846	1527
196	75216	1145
197	75511	762
198	75769	380
199	76012	0
